"ts","userid","sessionid","remote_ip","platform","sdk_ver","debug_device","user_agent","submit_time","name","custom_params__latitude","custom_params__time","custom_params__longitude","appid","type"
"1516628714031","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 08:01:90","gameStart","13.06076","1.516628689542E9","80.20611","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516631050923","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:26","gameStart","13.06077","1.516631040839E9","80.20611","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516631345545","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:15","gameStart","13.06075","1.516631311055E9","80.20609","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516631444478","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:79","gameStart","13.06076","1.516631444325E9","80.20612","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516631799515","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:55","gameStart","13.06076","1.516631700843E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516631920675","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:95","gameStart","13.06076","1.516631920408E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516631850102","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:95","gameStart","13.06076","1.51663184983E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516632106243","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:49","gameStart","13.06076","1.516632106065E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516632367213","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:49","gameStart","13.06075","1.516632366961E9","80.20609","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516632253340","634dc2c4a91ad49dfb9a4538bbee429d","5593671371451315833","49.206.116.182","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/22/2018 09:01:49","gameStart","13.06076","1.516632253144E9","80.20611","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
